File,Line,Type,Text,Priority,FullPath
00-未完成标记扫描报告-2026年01月01日.md,21,WARNING,(警告) | 6 |,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,137,WARNING,"- Some authors compose cycles from left to right. When reading another text, be sure to determine which convention is being used.)",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,184,WARNING,"- regarding three common mistakes when working with arbitrary rings. Using  $a^0$  or  $a^k$  where  $k$  is a negative integer; assuming  $ab = ba$  for ring elements  $a$  and  $b$ ; assuming that a ring has a unity. Of course, these are valid in some cases.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,509,WARNING,- It is not true that,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,656,WARNING,"- The following 'cancellation law' is not correct, even if  $f$  has an inverse.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,659,WARNING,- that was repeated so often in class that I had better learn by heart the difference between '  $g$  is a retraction for  $f$ ' and '  $g$  is a section for  $f$ ' since they mean different things!),Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,798,WARNING,- (1936) |,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,20,TODO,(待办事项) | 1 |,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,178,TODO,"- family on January 5, 1838, in Lyons, France. Like his father, he graduated from the École Polytechnique and became an engineer. Nearly all of his 120 research papers in mathematics were written before his retirement from engineering in 1885. From 1873 until 1912, Jordan taught simultaneously at the École Polytechnique and at the College of France. In the great French tradition, Jordan was a universal mathematician who published in nearly every branch of mathematics. Among the concepts named after him are the Jordan canonical form in matrix theory, the Jordan curve theorem from topology, and the",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,19,NOTE,(注意事项) | 757 |,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,37,NOTE,- the second by  $\rho^2$ ? Why do you think the identity is included?,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,38,NOTE,"- that applying this definition requires understanding what a subgroup is, what the notation means, and so on. Using it to prove things about cosets in general requires compressing the idea to think about cosets as objects. Chapter 7 discusses that compression, which takes some work. But at least the word coset indicates that there is work to do: most people have never heard it so it is clear that it introduces a new concept.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,39,NOTE,"- that this single counterexample is enough to show that  $\mathbb{Z}$  is not closed under multiplication because of the quantifier  $\forall$  when mathematicians say 'for all', they really mean it.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,40,NOTE,"- that it is not a coincidence that I have introduced the definitions of closure, associativity, identities and inverses. As you know if you have read Section 1.3, they all combine in the definition of group.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,41,NOTE,"- that the proof uses distributivity of multiplication over addition, the property that  $x(y + z) = xy + xz$ . Where?",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,42,NOTE,- other congruence classes by,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,43,NOTE,"- the intersection of two sets  $X$  and  $Y$  by  $X \cap Y$  (' $X$  intersect  $Y$ ) and the empty set by  $\emptyset$ . So we want to prove that for any two cosets  $a + 12\mathbb{Z}$  and  $b + 12\mathbb{Z}$ , either  $(a + 12\mathbb{Z}) \cap (b + 12\mathbb{Z}) = \emptyset$  or  $a + 12\mathbb{Z} = b + 12\mathbb{Z}$ .",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,44,NOTE,- that  $X \subseteq Y$ ' means 'X is a subset of  $Y$ ).,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,45,NOTE,- the new quantifier and think about how it relates to matrices.,Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,46,NOTE,"- is that in constructing the above proof, I did not do anything magical—I did not have a massive insight due to extensive experience or luck. I just wrote a proof frame using the premise and conclusion, translated what I knew about these into symbolic form, then looked at what I had and tried something. I didn't write it all forwards in one go—most people cannot do that unless a proof is very similar to one they have seen before; they have to get some ideas on paper, then refine. If the idea of starting before you know how a proof will go makes you nervous, I can only advise you to try it. You will probably surprise yourself.",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,47,NOTE,"- that self-testing can fit well into spaced and interleaved study because it need not be a big operation. In lectures, I sometimes ask students to study a short theorem and proof for two minutes, then cover it up and spend three minutes reconstructing it, then check anything that they missed or found difficult. That provides",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,48,NOTE,"- $\times_{12}$ ). Of course, you probably weren't expecting 0 to be the identity for  $\times_{12}$ ; this operation is based on multiplication, so 1 is a more likely candidate. And indeed 1 is the identity because for every  $a \in \mathbb{Z}_{12}$ ,  $1a = a1 = a$ . However, not every element has an inverse under  $\times_{12}$ . Some elements do:  $5 \times_{12} 5 = 1$ , so 5 is self-inverse. But 3 has no inverse because there is no element  $x$  such that  $3x = x3 = 1$ . How is that related to the diagram below? Which other elements have multiplicative inverses and which do not? Which elements would have inverses in  $(\mathbb{Z}_8, \times_8)$ , or in  $(\mathbb{Z}_{11}, \times_{11})$ ?",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
00-未完成标记扫描报告-2026年01月01日.md,49,NOTE,"- that inverses are closely tied to equation solving. You can check from the table that in  $(\mathbb{Z}_{12}, \times_{12})$ :",Unknown,E:\_src\FormalMath\00-未完成标记扫描报告-2026年01月01日.md
