"Path","Size","HasFrontMatter","BodyLength","MathKeywords","Placeholder","Watermark","Category","Reason"
"E:\_src\FormalMath\docs\00-2025年arXiv数学前沿追踪-第1季度.md","19566","True","4320","133","False","False","正常",""
"E:\_src\FormalMath\docs\00-2025年arXiv数学前沿追踪-第2季度.md","15425","True","3353","113","False","False","正常",""
"E:\_src\FormalMath\docs\00-2025年数学前沿进展综述.md","20943","True","4014","147","False","False","正常",""
"E:\_src\FormalMath\docs\00-arXiv各分支最新进展摘要.md","8637","True","1725","103","False","False","正常",""
"E:\_src\FormalMath\docs\00-arXiv对齐建议更新清单.md","11400","True","2120","134","False","False","正常",""
"E:\_src\FormalMath\docs\00-FormalMath前沿补充计划-2025.md","11958","True","2546","88","False","False","正常",""
"E:\_src\FormalMath\docs\00-FormalMath完全索引.md","13051","False","2384","217","False","False","正常",""
"E:\_src\FormalMath\docs\00-MSC编码标注冲刺-最终报告.md","5043","True","831","36","False","False","正常",""
"E:\_src\FormalMath\docs\00-交叉引用完善报告.md","23898","True","2902","113","False","False","正常",""
"E:\_src\FormalMath\docs\00-交叉引用补全报告.md","925","False","213","0","False","False","正常",""
"E:\_src\FormalMath\docs\00-从入门到精通学习路径.md","6703","True","1387","134","False","False","正常",""
"E:\_src\FormalMath\docs\00-全局文档索引-2025年12月.md","61242","True","5678","1161","False","False","正常",""
"E:\_src\FormalMath\docs\00-全局文档索引-MSC标注报告-阶段2.md","902","True","104","0","False","False","正常",""
"E:\_src\FormalMath\docs\00-全局文档索引-MSC标注报告.md","1958","True","231","10","False","False","正常",""
"E:\_src\FormalMath\docs\00-可视化内容索引.md","11020","True","1203","172","False","False","正常",""
"E:\_src\FormalMath\docs\00-导航页面.md","6417","True","975","43","False","False","正常",""
"E:\_src\FormalMath\docs\00-应用数学分支关联文档-第十三批.md","6423","True","1290","54","False","False","正常",""
"E:\_src\FormalMath\docs\00-应用案例索引.md","7870","True","1347","45","True","False","正常",""
"E:\_src\FormalMath\docs\00-快速开始指南.en.md","8045","True","824","6","False","False","正常",""
"E:\_src\FormalMath\docs\00-快速开始指南.md","6730","True","1370","57","False","False","正常",""
"E:\_src\FormalMath\docs\00-数学与人工智能前沿-2025综述.md","17352","True","3466","101","False","False","正常",""
"E:\_src\FormalMath\docs\00-数学学科发展时间线.md","12826","False","2247","137","False","False","正常",""
"E:\_src\FormalMath\docs\00-数学符号对照表.md","21488","True","3182","81","False","False","正常",""
"E:\_src\FormalMath\docs\00-数学符号规范文档.md","22588","True","3651","104","False","False","正常",""
"E:\_src\FormalMath\docs\00-数学符号速查表.md","16658","True","2387","64","False","False","正常",""
"E:\_src\FormalMath\docs\00-文档关联报告-2025年12月.md","18658","True","3842","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-文档格式修复报告.md","43882","True","9650","193","False","False","正常",""
"E:\_src\FormalMath\docs\00-文档格式标准化报告.md","162872","True","33850","1086","False","False","正常",""
"E:\_src\FormalMath\docs\00-文档格式标准化最终报告.md","6364","True","1245","4","False","False","正常",""
"E:\_src\FormalMath\docs\00-文档格式检查报告.md","19403","True","4381","72","False","False","正常",""
"E:\_src\FormalMath\docs\00-核心定理依赖关系图.md","11927","False","2173","213","False","False","正常",""
"E:\_src\FormalMath\docs\00-概念索引.md","606707","True","107362","7733","False","False","正常",""
"E:\_src\FormalMath\docs\00-版本发布说明.md","7026","True","1378","15","False","False","正常",""
"E:\_src\FormalMath\docs\00-知识体系全景图.md","16743","False","3109","262","False","False","正常",""
"E:\_src\FormalMath\docs\00-第十二批数学分支新增完成报告.md","7079","True","1566","32","False","False","正常",""
"E:\_src\FormalMath\docs\00-自适应学习路径系统使用指南.md","10906","True","1739","13","False","False","正常",""
"E:\_src\FormalMath\docs\00-认知诊断系统使用指南.md","4819","True","1157","25","False","False","正常",""
"E:\_src\FormalMath\docs\00-评估系统使用指南.md","16812","True","2306","18","False","False","正常",""
"E:\_src\FormalMath\docs\00-跨分支知识连接图谱.md","13169","False","2453","223","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目使用指南.md","17155","True","3102","116","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目总索引.md","18167","True","3164","230","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目总览.en.md","14029","True","1317","24","True","False","正常",""
"E:\_src\FormalMath\docs\00-项目总览.md","13315","True","2395","108","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目文档索引.md","14333","True","2146","100","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目统计总览-v2.md","4783","False","857","34","False","False","正常",""
"E:\_src\FormalMath\docs\00-项目统计总览.md","16228","True","2564","123","False","False","正常",""
"E:\_src\FormalMath\docs\CI_CD指南.md","14796","True","1941","3","False","False","正常",""
"E:\_src\FormalMath\docs\CI与周报说明.md","916","True","144","0","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath交互式学习内容推进报告-2025年1月.md","24067","True","4183","81","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath内容更新与维护系统.md","18083","True","1911","7","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath内容质量标准-2025年12月.md","6064","True","1331","41","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath参考文献格式标准-2025年1月.md","8705","True","1334","17","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath多任务推进完成报告-2025年1月.md","21956","True","5515","46","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath定义表述模板.md","18536","True","3849","187","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath文件命名规范-2025年12月.md","7691","True","1491","9","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath文档内容质量标准-2025年12月.md","7584","True","1683","52","True","False","正常",""
"E:\_src\FormalMath\docs\FormalMath文档格式标准-2026年01月.md","8646","True","1610","18","True","False","正常",""
"E:\_src\FormalMath\docs\FormalMath文档格式规范-2025年12月.md","7854","True","1528","19","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath术语标准化完成报告-2025年1月.md","14447","True","3271","67","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath术语标准化推进报告-2025年1月.md","34477","True","7143","287","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath术语词典框架-2025年1月.md","7047","True","1370","50","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath概念分析框架-示例与模板-2025年11月12日.md","14779","True","3090","71","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath现代数学前沿内容框架-2025年1月.md","9663","True","1917","65","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath现代数学前沿内容深化推进报告-2025年1月.md","22766","True","3858","154","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath目录结构规范-2025年12月.md","9372","True","1561","22","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath知识关联图谱系统.md","7233","True","1257","82","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath符号使用规范.md","14798","True","2365","35","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath符号标准化推进报告-2025年1月.md","17976","True","3255","114","False","False","正常",""
"E:\_src\FormalMath\docs\FormalMath质量保证机制推进报告-2025年1月.md","27243","True","4407","34","False","False","正常",""
"E:\_src\FormalMath\docs\German-Mathematical-Tradition.md","29092","True","3963","185","False","False","正常",""
"E:\_src\FormalMath\docs\README.md","8812","True","1365","96","False","False","正常",""
"E:\_src\FormalMath\docs\交互式图表增强-2025年1月.md","16877","True","2632","56","False","False","正常",""
"E:\_src\FormalMath\docs\内容维护指南.md","16320","True","2528","27","True","False","正常",""
"E:\_src\FormalMath\docs\内容重复整合分析报告.md","27668","True","5961","348","False","False","正常",""
"E:\_src\FormalMath\docs\前沿学习路径系统-2025年8月30日.md","27210","True","5677","359","False","False","正常",""
"E:\_src\FormalMath\docs\历史背景补充-2025年1月.md","14012","True","3345","165","False","False","正常",""
"E:\_src\FormalMath\docs\反例与特殊情况补充-2025年1月.md","11239","True","2586","57","False","False","正常",""
"E:\_src\FormalMath\docs\可视化内容增强-2025年1月.md","11092","True","1897","46","False","False","正常",""
"E:\_src\FormalMath\docs\可视化内容增强方案-2025年8月30日.md","12876","True","2337","97","False","False","正常",""
"E:\_src\FormalMath\docs\可视化内容实现-2025年8月30日.md","13566","True","2457","64","False","False","正常",""
"E:\_src\FormalMath\docs\可视化内容推进总结-2025年11月20日.md","35269","True","7862","584","False","False","正常",""
