概念ID,概念名称,领域,MSC主编码,MSC次级编码
limit,极限,分析学,26A03,40A05
continuity,连续性,分析学,26A15,"26A03, 54C05"
derivative,导数,分析学,26A24,"26A27, 58C20"
riemann_integral,积分,分析学,26A42,"26B15, 28A25"
infinite_series,级数,分析学,40A05,"40A10, 40A25"
uniform_convergence,一致收敛,分析学,40A30,"26A03, 30A10"
fourier_analysis,Fourier分析,分析学,42Bxx,"42A38, 42Cxx"
complex_analysis,复分析,分析学,30Cxx,"30Dxx, 30Exx"
residue_theory,留数,分析学,30E20,"30D30, 30Cxx"
conformal_mapping,共形映射,分析学,30C35,"30C20, 30D99"
harmonic_analysis,调和分析,分析学,43Axx,"42Bxx, 22E30"
measure_theory,测度论,分析学,28Axx,"28Cxx, 60A10"
lebesgue_integral,Lebesgue积分,分析学,28A25,"26A42, 46E30"
lp_spaces,Lp空间,分析学,46E30,"46B25, 42A38"
functional_analysis,泛函分析,分析学,46Axx,"46Bxx, 46Cxx"
banach_space,Banach空间,分析学,46B25,"46Axx, 47Axx"
hilbert_space,Hilbert空间,分析学,46C05,"46C15, 47Axx"
operator_theory,算子理论,分析学,47Axx,"47Bxx, 47Cxx"
spectral_theory,谱理论,分析学,47A10,"47A05, 47B15"
distribution_theory,分布理论,分析学,46Fxx,"46F10, 35Dxx"
sobolev_spaces,Sobolev空间,分析学,46E35,"46Fxx, 35Sxx"
variational_methods,变分法,分析学,49Jxx,"49Kxx, 58E05"
differential_equations,微分方程,分析学,34Axx,"34Bxx, 34Cxx"
partial_differential_equations,偏微分方程,分析学,35Jxx,"35Kxx, 35Lxx"
asymptotic_analysis,渐近分析,分析学,41A60,"30E15, 34E05"
group,群,代数学,20A05,"20Bxx, 20Cxx"
ring,环,代数学,16Y60,"13Axx, 16Exx"
field,域,代数学,12F99,"12E99, 12Fxx"
module,模,代数学,13C99,"16Dxx, 18F99"
linear_algebra,线性代数,代数学,15Axx,"15A03, 15A06"
vector_space,向量空间,代数学,15A03,"46Axx, 15Axx"
matrix,矩阵,代数学,15Axx,"15A09, 65Fxx"
