file,size,theorems,lemmas,defs,imports,sorrys,has_proof,status
06-第一同构定理.lean,6934,7,0,1,3,0,True,COMPLETE
07-拉格朗日插值.lean,12530,14,0,3,4,1,True,PARTIAL
08-柯西收敛准则.lean,11570,8,0,1,5,0,True,COMPLETE
09-罗尔定理.lean,10790,10,0,0,3,1,True,PARTIAL
10-欧拉公式.lean,6802,16,0,4,3,3,True,PARTIAL
11-二项式定理.lean,3745,8,0,0,4,0,False,COMPLETE
12-算术几何平均不等式.lean,5002,7,0,0,4,0,True,COMPLETE
13-琴生不等式.lean,6017,8,0,1,4,2,True,PARTIAL
14-霍尔德不等式.lean,5555,5,0,0,4,0,True,COMPLETE
15-柯西-施瓦茨不等式.lean,4069,6,0,0,3,0,True,COMPLETE
16-代数基本定理.lean,5158,4,0,0,4,0,True,COMPLETE
17-里斯表示定理.lean,3667,6,0,0,3,5,False,PARTIAL
18-施罗德-伯恩斯坦定理.lean,4738,5,0,0,3,11,True,PARTIAL
AnalyticNumberTheory.lean,10764,16,0,8,8,2,True,PARTIAL
ArtinWedderburn.lean,3685,4,0,0,3,0,False,COMPLETE
AtiyahSingerIndex.lean,2654,0,0,4,2,5,False,FRAMEWORK
BirchSwinnertonDyer.lean,6129,1,0,17,1,16,True,PARTIAL
BolzanoWeierstrass.lean,10061,8,0,2,6,0,True,COMPLETE
BrouwerFixedPoint.lean,8457,6,0,3,5,8,True,PARTIAL
CantorDiagonal.lean,4926,5,0,2,4,4,True,PARTIAL
CauchySchwarz.lean,3796,6,0,0,3,0,False,COMPLETE
CayleyHamilton.lean,3740,3,0,1,4,0,False,COMPLETE
CayleyTheorem.lean,7474,10,0,2,4,0,True,COMPLETE
CentralLimitTheorem.lean,7709,7,0,2,4,8,True,PARTIAL
ChevalleyTheorem.lean,3794,6,0,4,3,4,False,PARTIAL
ChineseRemainderTheorem.lean,9549,6,0,0,5,0,True,COMPLETE
Compactness.lean,6650,13,0,0,5,0,False,COMPLETE
CompletenessTheorem.lean,3749,3,0,0,4,0,False,COMPLETE
DivergenceTheorem.lean,7498,7,0,10,5,15,False,PARTIAL
EuclideanAlgorithm.lean,12387,16,0,2,7,0,True,COMPLETE
ExtremeValueTheorem.lean,2077,3,0,0,3,0,True,COMPLETE
FaltingsTheorem.lean,4359,2,0,2,4,0,False,COMPLETE
FermatLastTheorem.lean,4338,2,0,7,1,5,False,PARTIAL
FermatLittleTheorem.lean,10417,9,0,2,5,2,True,PARTIAL
FirstIsomorphismTheorem.lean,6499,7,0,1,3,0,True,COMPLETE
FourierSeriesConvergence.lean,12460,11,0,9,5,0,True,COMPLETE
FundamentalGroup.lean,7804,2,0,7,3,0,True,COMPLETE
FundamentalTheoremAlgebra.lean,10707,8,0,0,7,3,True,PARTIAL
FundamentalTheoremOfAlgebra.lean,2610,3,0,0,1,0,False,COMPLETE
GaussBonnet.lean,4204,0,0,2,4,0,False,FRAMEWORK
GaussianElimination.lean,2354,2,0,2,3,1,False,PARTIAL
GodelIncompleteness.lean,3253,0,0,6,1,11,True,FRAMEWORK
GreenTheorem.lean,8122,5,0,8,5,6,False,PARTIAL
