文件名,文件路径,总体评分,质量等级,完整性,准确性,可读性,国际化,学习效果,定理数,证明数,示例数,预估难度,预估学习时长(分钟),掌握概率,问题数量,建议数量
01-集合论基础-国际标准版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\01-集合论基础-国际标准版.md,45.21,NEEDS_IMPROVEMENT,48.15,0.00,75.24,83.33,37.50,15,0,0,beginner,238,2.62%,2,4
01-集合论基础-增强版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\01-集合论基础-增强版.md,56.20,NEEDS_IMPROVEMENT,66.67,0.00,72.66,91.67,75.00,4,0,3,beginner,283,4.96%,3,3
01-集合论基础-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\01-集合论基础-深度扩展版.md,50.50,NEEDS_IMPROVEMENT,58.64,0.00,69.85,83.33,62.50,50,1,0,intermediate,146,2.17%,2,2
01-集合论基础.md,G:\_src\FormalMath\docs\01-基础数学\集合论\01-集合论基础.md,55.72,NEEDS_IMPROVEMENT,74.07,0.00,60.98,91.67,75.00,12,0,32,intermediate,1397,0.62%,2,3
01-集合论基础1.md,G:\_src\FormalMath\docs\01-基础数学\集合论\01-集合论基础1.md,50.86,NEEDS_IMPROVEMENT,52.47,0.00,66.84,75.00,87.50,17,1,0,beginner,32,5.13%,2,3
02-函数与映射1.md,G:\_src\FormalMath\docs\01-基础数学\集合论\02-函数与映射1.md,50.79,NEEDS_IMPROVEMENT,48.15,0.00,65.64,83.33,87.50,15,0,0,beginner,34,4.76%,2,3
02-数系与运算-增强版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\02-数系与运算-增强版.md,57.90,NEEDS_IMPROVEMENT,65.43,0.00,82.73,91.67,75.00,11,0,4,beginner,174,6.24%,2,2
02-数系与运算-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\02-数系与运算-深度扩展版.md,42.66,NEEDS_IMPROVEMENT,30.25,0.00,91.10,75.00,37.50,16,0,0,beginner,18,5.44%,3,3
02-数系与运算.md,G:\_src\FormalMath\docs\01-基础数学\集合论\02-数系与运算.md,50.75,NEEDS_IMPROVEMENT,59.26,0.00,82.80,91.67,37.50,8,0,3,beginner,321,1.48%,1,2
03-关系与等价1.md,G:\_src\FormalMath\docs\01-基础数学\集合论\03-关系与等价1.md,49.09,NEEDS_IMPROVEMENT,48.15,0.00,63.37,75.00,87.50,17,0,0,beginner,35,4.75%,2,3
03-函数与映射-增强版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\03-函数与映射-增强版.md,50.42,NEEDS_IMPROVEMENT,46.30,0.00,78.59,91.67,62.50,0,0,3,beginner,220,5.44%,3,2
03-函数与映射-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\03-函数与映射-深度扩展版.md,37.72,POOR,17.90,0.00,91.20,75.00,25.00,19,0,0,beginner,19,5.08%,4,3
03-函数与映射.md,G:\_src\FormalMath\docs\01-基础数学\集合论\03-函数与映射.md,56.69,NEEDS_IMPROVEMENT,72.22,0.00,68.17,91.67,75.00,10,0,7,intermediate,661,1.42%,2,3
04-关系与等价-增强版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\04-关系与等价-增强版.md,50.71,NEEDS_IMPROVEMENT,46.30,0.00,80.05,91.67,62.50,0,0,3,beginner,264,2.72%,2,1
04-关系与等价-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\04-关系与等价-深度扩展版.md,53.30,NEEDS_IMPROVEMENT,62.35,0.00,88.57,83.33,50.00,44,0,1,beginner,114,1.46%,0,2
04-关系与等价.md,G:\_src\FormalMath\docs\01-基础数学\集合论\04-关系与等价.md,55.06,NEEDS_IMPROVEMENT,65.43,0.00,68.53,91.67,75.00,4,0,8,beginner,740,1.51%,2,2
05-基数与序数-国际标准版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\05-基数与序数-国际标准版.md,43.05,NEEDS_IMPROVEMENT,49.38,0.00,62.88,83.33,37.50,46,0,0,beginner,513,1.58%,2,4
05-基数与序数-增强版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\05-基数与序数-增强版.md,57.18,NEEDS_IMPROVEMENT,67.28,0.00,76.82,91.67,75.00,28,0,3,intermediate,237,4.99%,2,2
05-基数与序数-深化扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\05-基数与序数-深化扩展版.md,52.13,NEEDS_IMPROVEMENT,54.32,0.00,89.63,75.00,62.50,78,0,0,beginner,67,2.62%,1,1
05-基数与序数-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\05-基数与序数-深度扩展版.md,49.55,NEEDS_IMPROVEMENT,42.59,0.00,91.39,75.00,62.50,18,0,0,beginner,23,7.06%,2,2
05-基数与序数.md,G:\_src\FormalMath\docs\01-基础数学\集合论\05-基数与序数.md,55.85,NEEDS_IMPROVEMENT,69.14,0.00,67.83,91.67,75.00,26,0,8,intermediate,731,1.46%,2,2
FormalMath集合论项目100%完成报告-2025年1月.md,G:\_src\FormalMath\docs\01-基础数学\集合论\FormalMath集合论项目100%完成报告-2025年1月.md,54.55,NEEDS_IMPROVEMENT,7.41,100.00,54.12,75.00,37.50,0,0,0,beginner,8,19.15%,5,3
FormalMath集合论项目最终完成报告-2025年1月.md,G:\_src\FormalMath\docs\01-基础数学\集合论\FormalMath集合论项目最终完成报告-2025年1月.md,57.51,NEEDS_IMPROVEMENT,19.14,100.00,54.28,75.00,37.50,0,0,0,beginner,12,13.69%,4,3
Lean4形式化实现-基数序数理论.md,G:\_src\FormalMath\docs\01-基础数学\集合论\Lean4形式化实现-基数序数理论.md,46.11,NEEDS_IMPROVEMENT,44.44,0.00,65.64,83.33,62.50,51,0,0,intermediate,45,2.21%,3,3
Lean4形式化实现-集合论基础-国际标准版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\Lean4形式化实现-集合论基础-国际标准版.md,63.78,ACCEPTABLE,54.94,60.00,75.23,83.33,50.00,35,0,15,beginner,44,2.26%,3,3
Lean4形式化实现-集合论基础.md,G:\_src\FormalMath\docs\01-基础数学\集合论\Lean4形式化实现-集合论基础.md,49.38,NEEDS_IMPROVEMENT,66.05,0.00,64.34,83.33,50.00,30,0,13,intermediate,61,2.73%,2,2
关系论专门扩展总结.md,G:\_src\FormalMath\docs\01-基础数学\集合论\关系论专门扩展总结.md,52.22,NEEDS_IMPROVEMENT,62.35,0.00,64.41,83.33,75.00,6,0,1,beginner,74,2.24%,1,2
基数序数理论-深度扩展版.md,G:\_src\FormalMath\docs\01-基础数学\集合论\基数序数理论-深度扩展版.md,47.25,NEEDS_IMPROVEMENT,44.44,0.00,77.59,75.00,62.50,23,0,0,beginner,47,3.49%,3,3
基数序数理论应用案例.md,G:\_src\FormalMath\docs\01-基础数学\集合论\基数序数理论应用案例.md,39.81,POOR,35.80,0.00,60.54,75.00,50.00,0,1,20,beginner,94,2.87%,5,4
